"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
517,"NCT05495126","Evaluate Treatment Outcomes For AI-Enabled Information Collection Tool For Clinical Assessments In Mental Healthcare",,"Not yet recruiting","No Results Available","Mental Health Issue","Diagnostic Test: Standard Limbic Access pathway|Diagnostic Test: Limbic Access with AI pathway","Change from baseline depression score to after treatment|Change from baseline anxiety score to after treatment|Change in diagnosis|Clinical assessment times|Waiting times|Referral Dropout Rates|Assessment Dropout Rates|Treatment Dropout Rates","Limbic Limited|Insight Healthcare","All","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","4000","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Diagnostic","Limbic-303303","September 1, 2022","December 31, 2022","March 31, 2023","August 10, 2022",,"August 10, 2022",,,"https://ClinicalTrials.gov/show/NCT05495126"
518,"NCT05495113","The Efficacy and Safety of tDCS in Patients With Mild Dementia",,"Recruiting","No Results Available","Mild Dementia","Device: YMS-201B (Device: Mind STIM)","The difference between the K-MMSE (Mini Mental State Examination) changes after stimulation for 26 weeks compared to the baseline of the test group(active tDCS) and the control group(Sham control)|The difference between the scale changes after stimulation for 26 weeks compared to the baseline of the test group(active tDCS) and the control group(Sham control)","Ybrain Inc.","All","55 Years to 90 Years   (Adult, Older Adult)","Not Applicable","118","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","YB_ST_SIT1901","December 1, 2019","September 30, 2022","December 30, 2022","August 10, 2022",,"August 10, 2022","The Catholic University of Korea at incheon, Incheon, Korea, Republic of|Korea University, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT05495113"
519,"NCT05495100","A Single-arm, Multicenter, Prospective Clinical Study of Mitoxantrone Liposome Combined With Chidamide and Azacitidine in the Treatment of Relapsed and Refractory Peripheral T-cell Lymphoma",,"Recruiting","No Results Available","Peripheral T Cell Lymphoma","Drug: Mitoxantrone liposome、Chidamide、Azacitidine","ORR","Second Affiliated Hospital, School of Medicine, Zhejiang University|Ningbo No. 1 Hospital|Jinhua Central Hospital|Huizhou Municipal Central Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","45","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2022-0453","August 11, 2022","August 11, 2023","August 11, 2024","August 10, 2022",,"August 10, 2022","Second Affiliated Hospital, School of Medicine, Zhejiang University, Zhejiang, Zhejiang, China",,"https://ClinicalTrials.gov/show/NCT05495100"
520,"NCT05495087","Intermittent Hypoxia Training: A Novel Therapy for Mild Cognitive Impairment",,"Not yet recruiting","No Results Available","Mild Cognitive Impairment|Memory Impairment","Device: IHT Treatment|Other: Sham-IHT Control","Overall Cognitive Function|Attention and Short-term Memory|Cognitive Function|Visual Orientation and Executive Function|Neurotoxic Protein|Neuroprotective Protein|Cerebral Vascular Function|Brain Morphology","University of North Texas Health Science Center|University of Texas Southwestern Medical Center|National Institute on Aging (NIA)","All","55 Years to 80 Years   (Adult, Older Adult)","Not Applicable","66","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","R01AG076675","August 15, 2022","April 30, 2025","April 30, 2025","August 10, 2022",,"August 10, 2022",,,"https://ClinicalTrials.gov/show/NCT05495087"
521,"NCT05495074","Design of a Genetic Score to Predict the Response to a Dietary Intervention in Adults With Metabolic Syndrome",,"Active, not recruiting","No Results Available","Metabolic Syndrome","Other: ATP III dietary intervention","Change in waist circumference|Change in serum glucose|Change in serum HDL cholesterol|Change in serum triglycerides|Change in systolic and diastolic blood pressure|Change in the serum amino acid profile|Change in body composition|Change in body weight|Change in serum insulin|Change in serum leptin|Change in serum glucagon|Change in serum adiponectin|Change of insulin resistance by HOMA index|Change of Body mass index","Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran|Universidad Autonoma de San Luis Potosí","All","18 Years to 60 Years   (Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FNU-3813-21-22-1","September 2, 2021","August 2023","August 2023","August 10, 2022",,"August 10, 2022","Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubiran., Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT05495074"
522,"NCT05495061","A Comparative Confirmatory Study of STN1012600 in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension",,"Recruiting","No Results Available","Primary Open Angle Glaucoma, Ocular Hypertension","Drug: STN1012600 ophthalmic solution 0.002%|Drug: Latanoprost ophthalmic solution 0.005%","Change from baseline in mean diurnal intraocular pressure","Santen Pharmaceutical Co., Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 3","300","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","101260005LT","August 9, 2022","May 31, 2023","May 31, 2023","August 10, 2022",,"August 10, 2022","Eyecare Nagoya, Aichi, Japan|Kitanagoya Eye Clinic, Aichi, Japan|Takahashi Eye Clinic, Aichi, Japan|Kawabata Eye Clinic, Chiba, Japan|Mitsuhashi Eye Clinic, Chiba, Japan|Shisui Ophthalmology Clinic, Chiba, Japan|Takeda Eye Clinic, Hokkaido, Japan|Kanamori Eye Clinic, Hyogo, Japan|Dannoue Eye Clinic, Kanagawa, Japan|Hodogaya iina Eye Clinic, Kanagawa, Japan|Honda Eye Clinic, Kanagawa, Japan|Yokosuka Chuoh Eye Clinic, Kanagawa, Japan|Kengun Sakuragi Eye Clinic, Kumamoto, Japan|Hideyuki Eye Clinic, Miyagi, Japan|Iwashita Eye Clinic, Osaka, Japan|Maeda Eye Clinic, Osaka, Japan|Nishi Eye Hospital, Osaka, Japan|Onoe Eye Clinic, Osaka, Japan|Sugasawa Eye Clinic, Osaka, Japan|Sugiura Eye Clinic, Osaka, Japan|Tahara Eye Clinic, Osaka, Japan|Tane Memorial Eye Hospital, Osaka, Japan|Kawaguchi Aozora Eye Clinic, Saitama, Japan|Omiya Hamada Eye Clinic West entrance Branch, Saitama, Japan|Omiya Hamada Eye Clinic, Saitama, Japan|Shibuya Ophthalmology Clinic, Saitama, Japan|Muramatsu Eye Clinic, Shizuoka, Japan|Nakamura Eye Clinic, Shizuoka, Japan|Ono Ophthalmic Clinic, Shizuoka, Japan|Saito Eye Clinic, Shizuoka, Japan|Yoshimura Eye & Internal Medical Clinic, Shizuoka, Japan|Dogenzaka Kato Eye Clinic, Tokyo, Japan|Hashida Eye Clinic, Tokyo, Japan|Kakinoki Eye Clinic, Tokyo, Japan|Seijo Clinic, Tokyo, Japan|Shimizu Eye Clinic, Tokyo, Japan|Shirayama Eye Clinic, Tokyo, Japan|Suitengu Fujita Ophthalmo Clinic, Tokyo, Japan|Tamagawa Eye Clinic, Tokyo, Japan|Tokiwadai Muranaka Eye Clinic, Tokyo, Japan|Ueda Eye Clinic, Tokyo, Japan|Watanabe Eye Clinic, Tokyo, Japan|IMAI Eye Clinic, Yamanashi, Japan",,"https://ClinicalTrials.gov/show/NCT05495061"
523,"NCT05495048","Transvaginal NOSES Versus Conventional Laparoscopic Surgery for Right Hemicolectomy",,"Not yet recruiting","No Results Available","Colon Cancer","Procedure: NOSES VIIIA|Procedure: laparoscopic surgery with mini-laparotomy","disease-free survival rate","Shanghai Minimally Invasive Surgery Center","Female","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","356","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NOSES VIIIA Trial","January 1, 2023","December 31, 2028","December 31, 2028","August 10, 2022",,"August 10, 2022",,,"https://ClinicalTrials.gov/show/NCT05495048"
524,"NCT05495035","Study for Safety and Efficacy of Olverembatinib Combined With APG-2575 in Children With Relapsed/Refractory Ph + ALL",,"Not yet recruiting","No Results Available","Lymphoblastic Leukemia, Acute, Childhood|Leukemia, Lymphoblastic, Acute, Philadelphia-Positive|Relapsed Leukemia|Refractory Leukemia","Drug: Olverembatinib, APG-2575, Dexamethasone","Dose-limiting toxicity (DLT)|Objective Response Rate (ORR)|Maximum plasma concentration (Cmax)|Area under the plasma concentration versus time curve (AUC)|R2PD of Olverembatinib and APG-2575|Minimal Residual Disease (MRD) negative rate","Institute of Hematology & Blood Diseases Hospital","All","1 Year to 18 Years   (Child, Adult)","Phase 1","22","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HQP1351ACE01","August 1, 2022","August 31, 2024","December 1, 2024","August 10, 2022",,"August 10, 2022","The Second Affiliated Hospital of Anhui Medical University, Hefei, Anhui, China|Qilu Hospital of Shandong University, Jinan, Shandong, China|Department of Pediatrics, Institute of Hematology and Blood Disease Hospital, Chinese Academy of Medical Sciences, Tianjin, Tianjin, China|Department of Hematology/Oncology, Shanghai Jiaotong University School of Medicine Affiliated Shanghai Children's Medical Center, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT05495035"
525,"NCT05495022","The Effect of MBSR (Mindfulness-Based Stress Reduction) Program on Anxiety, Work-Related Emotional Burnout and Job Satisfaction in Midwives",,"Completed","No Results Available","Midwives|Mindfulness|Anxiety|Professional Burnout|Job Satisfaction","Behavioral: Mindfulness-based stress reduction (MBSR) program","Beck Anxiety Scale|Work-Related Emotional Burnout Scale|Minnesota Job Satisfaction Scale (MSQ) Short Form","Inonu University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","28-02-2022 / 26","June 4, 2022","July 1, 2022","August 1, 2022","August 10, 2022",,"August 15, 2022","Faculty of Health Science, Gaziantep, Şahinbey/ Gaziantep, Turkey",,"https://ClinicalTrials.gov/show/NCT05495022"
526,"NCT05495009","Virtual Reality, Labor Pain, Anxiety, Birth Perception",,"Completed","No Results Available","Labor Pain|Anxiety","Other: Standard of care+virtual reality glasses","pre-intervention pain at the start of the active phase was assessed by Visual Analogue Scale-Pain (VAS-P)|post-intervention pain at the start of the active phase was assessed Visual Analogue Scale-Pain (VAS-P)|pre-intervention anxiety at the start of the active phase was assessed by Visual Analogue Scale-Anxiety (VAS-A)|post-intervention anxiety at the start of the active phase was assessed by Visual Analogue Scale-Anxiety (VAS-A)|pre-intervention pain at the start of the transition phase was assessed by Visual Analogue Scale-Pain (VAS-P)|post-intervention pain at the start of the transition phase was assessed by Visual Analogue Scale-Pain (VAS-P)|pre-intervention anxiety at the start of the transition phase was assessed by Visual Analogue Scale-Anxiety (VAS-A)|post-intervention anxiety at the start of the transition phase was assessed by Visual Analogue Scale-Anxiety (VAS-A)|birth perception in the postpartum period was assessed by Mother's Perception of Birth Scale|pre-intervention systolic blood pressure (mmHg) at the start of the active phase was assessed.|post-intervention systolic blood pressure (mmHg) at the start of the active phase was assessed.|pre-intervention diastolic blood pressure (mmHg) at the start of the active phase was assessed.|post-intervention diastolic blood pressure (mmHg) at the start of the active phase was assessed.|pre-intervention pulse (minute) at the start of the active phase was assessed.|post-intervention pulse (minute) at the start of the active phase was assessed.|pre-intervention respiration (minute) at the start of the active phase was assessed.|post-intervention respiration (minute) at the start of the active phase was assessed.|pre-intervention fetal heart rate (minute) at the start of the active phase was assessed.|post-intervention fetal heart rate (minute) at the start of the active phase was assessed.|pre-intervention contraction frequency (minute) at the start of the active phase was assessed.|post-intervention contraction frequency (minute) at the start of the active phase was assessed.|pre-intervention contraction duration (minute) at the start of the active phase was assessed.|post-intervention contraction duration (minute) at the start of the active phase was assessed.|pre-intervention contraction severity (minute) at the start of the active phase was assessed.|post-intervention contraction severity (minute) at the start of the active phase was assessed.|pre-intervention systolic blood pressure (mmHg) at the start of the transition phase was assessed.|post-intervention systolic blood pressure (mmHg) at the start of the transition phase was assessed.|pre-intervention diastolic blood pressure (mmHg) at the start of the transition phase was assessed.|post-intervention diastolic blood pressure (mmHg) at the start of the transition phase was assessed.|pre-intervention pulse (minute) at the start of the transition phase was assessed.|post-intervention pulse (minute) at the start of the transition phase was assessed.|pre-intervention respiration (minute) at the start of the transition phase was assessed.|post-intervention respiration (minute) at the start of the transition phase was assessed.|pre-intervention fetal heart rate (minute) at the start of the transition phase was assessed.|post-intervention fetal heart rate (minute) at the start of the transition phase was assessed.|pre-intervention contraction frequency (minute) at the start of the transition phase was assessed.|post-intervention contraction frequency (minute) at the start of the transition phase was assessed.|pre-intervention contraction duration (minute) at the start of the transiton phase was assessed.|post-intervention contraction duration (minute) at the start of the transiton phase was assessed.|pre-intervention contraction severity (minute) at the start of the transition phase was assessed.|post-intervention contraction severity (minute) at the start of the transition phase was assessed.","Abant Izzet Baysal University","Female","18 Years to 35 Years   (Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","İBDH-KDÜ-MB-01","June 21, 2021","December 12, 2021","December 12, 2021","August 10, 2022",,"August 10, 2022","İzzet Baysal State Hospital, Obstetrics and Pediatrics Unit, delivery room service, Bolu, Center, Turkey",,"https://ClinicalTrials.gov/show/NCT05495009"
527,"NCT05494996","Psychometric Properties of the Chinese Version of the Five-item Relationship Satisfaction Scale",,"Not yet recruiting","No Results Available","Relationship, Family","Other: Questionnaires set","Relationship satisfaction","Sun Yat-sen University","All","18 Years and older   (Adult, Older Adult)",,"278","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","wjn-RS5","August 30, 2022","August 30, 2023","October 1, 2023","August 10, 2022",,"August 11, 2022","XIAW, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT05494996"
528,"NCT05494983","Pain, Sleep and Gut Microbiota",,"Recruiting","No Results Available","Sensitization, Central|Peripheral Sensitization|Gut Microbiota|Sleep Quality","Other: Screening visit|Other: Peripheral sensitization session|Other: Central sensitization session","Correlation between composition of the intestinal microbiota and its metabolites and the susceptibility of sensitization at the peripheral and central levels.|Correlation between sleep quality and the susceptibility of sensitization at the peripheral and central levels.|Correlation between sleep duration and the susceptibility of sensitization at the peripheral and central levels.|Correlation between levels of systemic pro- and anti-inflammatory cytokines measured by multiplex assays and the susceptibility of sensitization at the peripheral and central levels.|Correlation between pupil diameter and the susceptibility of sensitization at the peripheral and central levels.|Correlation between heart rate variability and the susceptibility of sensitization at the peripheral and central levels.","Université Catholique de Louvain","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","140","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Other","PAIN,SLEEP,MICROBIOTA","July 4, 2022","January 4, 2024","January 4, 2026","August 10, 2022",,"August 15, 2022","UCLouvain, IONS, Woluwe-Saint-Lambert, Belgium",,"https://ClinicalTrials.gov/show/NCT05494983"
529,"NCT05494970","Accompaniment of Patients by Dental Assistants in the Evaluation of Oral Hygiene During and After Radiotherapy Treatment.","RadioT HBD","Not yet recruiting","No Results Available","ORL Cancer","Other: Accompaniment by the dental assistant.","Rate of patients with improved oral hygiene between the inclusion visit and 3 months post-radiotherapy.|Patient satisfaction with the oral hygiene information guide and the consultations performed by the dental assistant.|The motivation of the patients towards their oral health.","Institut Claudius Regaud|Ligue contre le cancer, France","All","18 Years and older   (Adult, Older Adult)",,"44","Other","Observational","Observational Model: Other|Time Perspective: Prospective","22VADS03","September 2022","June 2024","June 2024","August 10, 2022",,"August 12, 2022","Institut Universitaire du Cancer Toulouse - Oncopole, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT05494970"
530,"NCT05494957","Clinical Study of New Intensive Treatment Regimen for Severe Nontuberculous Mycobacterial Pulmonary Disease","NTM-PD","Not yet recruiting","No Results Available","Nontuberculous Mycobacterial Lung Disease","Drug: New regimen(BdqCfzLzd+XY)","Treatment Outcome|Improvement rate of imaging","Shanghai Pulmonary Hospital, Shanghai, China|Shanghai Public Health Clinical Center|No.85 Hospital, Changning, Shanghai, China|Anhui Chest Hospital|Shanghai Pudong New Area Pulmonary Hospital, China|Huashan Hospital|Zhengzhou Sixth People's Hospital, China","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Q20-293","August 5, 2022","August 5, 2024","August 5, 2025","August 10, 2022",,"August 10, 2022","Shanghai Pulmonary Hospital, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT05494957"
531,"NCT05494944","Low Power ThULEP for Prostate Size More Than 80 gm",,"Completed","No Results Available","Benign Prostatic Hyperplasia","Procedure: ThuLEP","Timing of complete adenoma removal ( enucleation time in minutes)|International prostate symptoms score IPSS less than 7 which is good outcome|International Index of Erectile Function- 5 score more than 12 which is a good outcome","Kasr El Aini Hospital","Male","Child, Adult, Older Adult","Not Applicable","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Urology department","December 1, 2019","March 30, 2022","March 30, 2022","August 10, 2022",,"August 12, 2022","Samer Morsy, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT05494944"
532,"NCT05494931","Effect of Superficial Keratotomy on Reducing Postoperative Pain Fallowing Conjuctival Flap",,"Completed","No Results Available","Reduced Corneal Sensation","Procedure: corneal neurotomy","postoperative pain 6 hours after conjunctival flap|postoperative pain 24 hours after conjunctival flap|postoperative pain 48 hours after conjunctival flap","Iran University of Medical Sciences","All","Child, Adult, Older Adult","Not Applicable","9","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention","IR.IUMS.FMD.REC.1401.021","December 15, 2020","June 5, 2022","August 5, 2022","August 10, 2022",,"August 10, 2022","Eye Research Center, Tehran, Tehrani, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT05494931"
533,"NCT05494918","First-In-Human Study in Subjects With Advanced or Metastatic Solid Malignant Tumors",,"Not yet recruiting","No Results Available","Advanced Solid Tumors|Metastatic Solid Tumors","Drug: JSKN003","MTD|Preliminary RDE/RP2D|DLTs|Adverse Events|Cmax of JSKN003|Tmax of JSKN003|AUC of JSKN003|Terminal Elimination Half-life (t1/2)|ORR|TTR|DoR|PFS|Anti-JSKN003 antibody","Alphamab (Australia) Co Pty Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 1","45","Industry","Interventional","Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","JSKN003-101","August 12, 2022","October 30, 2024","December 30, 2024","August 10, 2022",,"August 12, 2022",,,"https://ClinicalTrials.gov/show/NCT05494918"
534,"NCT05494905","Virtual Reality vs Functional Strength Training in Children With Cerebral Palsy",,"Recruiting","No Results Available","Cerebral Palsy","Other: VR|Other: FST","Reaching kinematics at the baseline|Reaching kinematics at the end of the 6th week|Reaching kinematics at the end of the 12th week|Fine motor domain of Peabody Developmental Motor Scales-2nd edition at baseline|Fine motor domain of Peabody Developmental Motor Scales-2nd edition at the end of the 6th week|Fine motor domain of Peabody Developmental Motor Scales-2nd edition at the end of the 12th week|Daily use of affected hand at baseline|Daily use of affected hand at the end of the 6th week|Daily use of affected hand at the end of the 12th week|Muscle strength at baseline|Muscle strength at the end of the 6th week|Muscle strength at the end of the 12th week|Children's motivation and compliance","Georgia State University|Georgia Institute of Technology","All","5 Years to 17 Years   (Child)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","H21384","February 1, 2017","December 2024","December 2024","August 10, 2022",,"August 10, 2022","Department of Physical Therapy, Georgia State University, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT05494905"
535,"NCT05494892","Development of a Research Agenda for Rehabilitation Research",,"Enrolling by invitation","No Results Available","Research Agenda|Conditions Influencing Health Status",,"Identification of priorities in applied rehabilitation research|Weighting of the identified priorities in research","Pensionsversicherungsanstalt","All","Child, Adult, Older Adult",,"60","Other","Observational","Observational Model: Other|Time Perspective: Other","0004 Masterplan Reha-Forschung","April 1, 2021","December 30, 2022","March 15, 2023","August 10, 2022",,"August 15, 2022","Pensionsversicherungsanstalt, Vienna, Austria",,"https://ClinicalTrials.gov/show/NCT05494892"
536,"NCT05494879","Effectiveness of Microkinesitherapy in Seniors",,"Not yet recruiting","No Results Available","Microkinesitherapy","Behavioral: microkinesitherapy treatment","Change of the Senior Fitness Test|Change of the gait parameters|Change of the quality of life|Change of the mental health","The Opole University of Technology","All","50 Years to 100 Years   (Adult, Older Adult)","Not Applicable","24","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Micro_Poznan","August 17, 2022","August 30, 2022","July 18, 2023","August 10, 2022",,"August 10, 2022","Faculty of Physical Education and Physiotherapy, Opole University of Technology, Opole, Poland",,"https://ClinicalTrials.gov/show/NCT05494879"
537,"NCT05494866","A Trial of Cobicistat and Gemcitabine and Nab-Paclitaxel in Patients With Advanced Stage or Metastatic Pancreatic Ductal Adenocarcinoma","IntenSify","Not yet recruiting","No Results Available","CYP3A Inhibitor|Advanced Stage or Metastatic Pancreatic Ductal Adenocarcinoma","Drug: Cobicistat Oral Tablet","occurrence of DLTs","German Cancer Research Center|University Hospital Heidelberg","All","18 Years and older   (Adult, Older Adult)","Phase 1","18","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NH21","November 1, 2022","August 31, 2024","February 28, 2025","August 10, 2022",,"August 12, 2022","University Hospital Heidelberg, Heidelberg, BW, Germany",,"https://ClinicalTrials.gov/show/NCT05494866"
538,"NCT05494853","Novel Biomarker Assay for Biomarker Assay for HCC Detection","GTH_HCC","Not yet recruiting","No Results Available","Hepato-cellular Carcinoma",,"HCC screening positive","Genetron Health|Piedmont Transplant Institute. 1968 Peachtree Road, NW   77 Building, 6th Floor   Atlanta, GA 30309","All","18 Years and older   (Adult, Older Adult)",,"200","Industry|Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","GTH_HCC2022","December 1, 2022","December 1, 2024","December 1, 2025","August 10, 2022",,"August 10, 2022",,,"https://ClinicalTrials.gov/show/NCT05494853"
539,"NCT05494840","The Effect of Prenatal Haptonomy on Anxiety, Distress and Psychological Well-being",,"Not yet recruiting","No Results Available","First Pregnancy","Behavioral: Haptonomy","Pregnancy-Related Anxiety Questionnaire-Revised-2 (PRAQ-R2)|Tilburg Pregnancy Distress Scale (TPDS)|Psychological well-being scale","Hilal Özbek|Tokat Gaziosmanpasa University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care","TR TOKAT01","September 1, 2022","September 30, 2022","September 30, 2023","August 10, 2022",,"August 10, 2022","Tokat Gaziosmanpasa University, Tokat, Turkey",,"https://ClinicalTrials.gov/show/NCT05494840"
540,"NCT05494827","The Impact of a Regular Borjomi® Consumption on an Anaerobic Performance",,"Completed","No Results Available","Healthy","Other: Regular consumption of natural mineral water Borjomi® with high bicarbonate content|Other: Regular consumption of processed drinking water Smart Spring®|Other: Regular consumption of still drinking water","Changes of Relative Peak Power (W/kg)|Changes of Fatigue Index (%)|Changes of Acid-Base Balance|Changes of Lactate levels|Changes of Attention stability","Zaynudin Zaynudinov, MD, PhD|LLC IDS Borjomi|Federal State Budgetary Scientific Institution ""Federal Research Centre of Nutrition, Biotechnology","All","18 Years to 45 Years   (Adult)","Not Applicable","51","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Basic Science","03/20","July 1, 2020","September 30, 2020","December 31, 2020","August 10, 2022",,"August 10, 2022","Department of Cardiovascular Pathology and Diet Therapy of Nutrition Clinic of The Federal Research Centre of Nutrition, Biotechnology and Food Safety, Moscow, Russian Federation",,"https://ClinicalTrials.gov/show/NCT05494827"
541,"NCT05494814","Sandhills Community Kitchen Evaluation: Using the Veggie Meter",,"Enrolling by invitation","No Results Available","Diet, Healthy","Other: Child Care Centers Served Meals Prepared by Central Kitchen","Change in produce intake","North Carolina State University|Duke University","All","3 Years to 5 Years   (Child)","Not Applicable","650","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","24444","January 1, 2024","January 1, 2026","January 1, 2026","August 10, 2022",,"August 10, 2022","North Carolina State University, Raleigh, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT05494814"
542,"NCT05494801","Natural History, Disease Progression, and Long-Term Neurologic Sequelae of Ebola Virus Disease (EVD) Survivors in PREVAIL III",,"Recruiting","No Results Available","Ebola Virus Disease",,"Neurological Sequelae|Harmonize data","National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)",,"250","NIH","Observational","Observational Model: Case-Control|Time Perspective: Prospective","10000727|000727-I","August 18, 2022","January 1, 2023","January 1, 2023","August 10, 2022",,"August 15, 2022","John F. Kennedy Medical Center, Monrovia, Liberia",,"https://ClinicalTrials.gov/show/NCT05494801"
543,"NCT05494788","Impact of CardiolRxTM on Recurrent Pericarditis",,"Not yet recruiting","No Results Available","NRS Pain Scores","Drug: CardiolRx","11-point NRS pain score|Normalized CRP levels|CRP change from baseline","Cardiol Therapeutics Inc.","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","25","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Cardiol 100-004","October 2022","June 2024","September 2024","August 10, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05494788"
544,"NCT05494775","Effect of Corona Virus on Intravitreal Injections",,"Recruiting","No Results Available","Diabetic Macular Edema|Age-Related Macular Degeneration|Choroidal Neovascularization|Myopic Choroidal Neovascularisation|Diabetic Retinopathy","Drug: Anti-vascular endothelial growth factors (Anti-VEGFs)","Visual acuity|Central subfield thickness","Benha University","All","30 Years to 80 Years   (Adult, Older Adult)","Not Applicable","250","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Rc-11-2022","February 1, 2019","June 11, 2023","July 30, 2023","August 10, 2022",,"August 10, 2022","Ahmed Abdelshafy Tabl, Banhā, Benha, Egypt",,"https://ClinicalTrials.gov/show/NCT05494775"
